,Player,Eligible,Hall_of_Fame,MVP,Finals_MVP,NBA_Champ,All_NBA,All_Defensive,Def_POY,All_Star,Scoring_Champ,TRB_Champ,AST_Champ,STL_Champ,BLK_Champ,All_ABA,ABA_Champ,ROY,FG_per_game,FGA_per_game,3P_per_game,3PA_per_game,2P_per_game,2PA_per_game,FT_per_game,FTA_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,PTS_per_game,G_totals,GS_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,PTS_totals,Trp_Dbl_totals,PER_advanced,TS%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
4124,Mike Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3.5,0.2,1.1,0.9,2.4,0.6,0.9,0.6,0.7,1.3,0.6,0.3,0.2,3.0,17,0,19,59,.322,3,18,.167,16,41,.390,.347,10,16,.625,10,12,22,10,5,3,51,,8.1,.386,-0.1,0.0,-0.1,-0.033,-1.6,-2.5,-4.2,-0.1
4125,Nolan Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.5,0.2,0.9,1.1,2.6,0.5,0.7,0.3,0.7,1.0,1.2,0.3,0.0,3.3,84,4,109,294,.371,19,73,.260,90,221,.407,.403,40,56,.714,24,59,83,97,25,4,277,,7.5,.435,-1.1,0.3,-0.8,-0.047,-4.3,-1.6,-6.0,-0.8
4126,Otis Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,9.0,0.1,0.5,4.0,8.5,2.2,2.9,1.6,2.2,3.8,1.8,1.0,0.5,10.5,375,102,1540,3384,.455,47,187,.251,1493,3197,.467,.462,824,1082,.762,604,812,1416,690,377,188,3951,,15.7,.512,6.1,6.1,12.3,.076,0.3,-0.2,0.2,4.2
4127,Pete Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.4,0.0,0.4,0.4,2.0,0.0,0.0,0.6,1.0,1.6,0.2,,,0.8,5,,2,12,.167,0,2,.000,2,10,.200,.167,0,0,,3,5,8,1,,,4,,-9.3,.167,-0.2,0.0,-0.2,-0.262,,,,
4128,Phil Smith,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,6.1,12.8,0.1,0.3,6.1,12.7,2.9,3.7,0.9,2.1,3.0,3.9,1.1,0.3,15.1,659,58,4007,8418,.476,19,75,.253,3988,8343,.478,.477,1891,2428,.779,588,1390,1978,2561,734,165,9924,1,15.8,.523,26.2,14.9,41.1,.103,0.6,-0.6,0.1,9.9
4129,Randy Smith,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6.8,14.6,0.1,0.3,6.8,14.5,3.0,3.8,1.1,2.4,3.7,4.6,1.7,0.1,16.7,976,56,6676,14218,.470,17,110,.155,6659,14108,.472,.470,2893,3705,.781,861,1977,3597,4487,1403,57,16262,,16.5,.513,41.4,18.6,60.1,.092,0.7,-0.4,0.4,16.0
4130,Reggie Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.5,0.0,0.0,0.6,1.5,0.3,0.8,0.8,1.0,1.8,0.1,0.2,0.1,1.5,66,9,39,99,.394,0,1,.000,39,98,.398,.394,21,52,.404,55,65,120,5,16,7,99,,9.1,.406,-0.1,0.5,0.4,.051,-4.4,-0.8,-5.1,-0.3
4131,Robert Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.2,0.1,0.4,1.8,4.0,1.3,1.4,0.3,1.0,1.3,1.8,0.5,0.1,5.0,229,1,417,958,.435,10,42,.238,407,916,.444,.441,291,332,.877,70,218,288,401,119,21,1135,,11.0,.514,2.9,2.7,5.6,.086,-2.0,0.2,-1.9,0.1
4132,Russ Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.7,0.1,0.6,0.4,1.1,0.7,1.0,0.1,0.5,0.6,0.7,0.3,0.0,2.0,27,0,15,47,.319,3,16,.188,12,31,.387,.351,20,26,.769,2,13,15,19,8,1,53,,7.8,.453,-0.3,0.2,-0.2,-0.068,-5.2,0.1,-5.1,-0.1
4133,Sam Smith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,6.0,0.3,1.2,2.3,5.3,1.6,1.9,0.5,0.9,1.4,1.3,0.7,0.3,6.8,46,,116,277,.419,8,35,.229,108,242,.446,.433,75,87,.862,22,41,63,58,33,14,315,,14.2,.500,0.5,0.5,1.1,.082,-0.8,-0.1,-1.0,0.2
